#step
#valid
K = 1 , RMSE = 0.2697396028839273
K = 2 , RMSE = 0.25275561972858335
K = 3 , RMSE = 0.2530644747515417
K = 4 , RMSE = 0.25744625553335704
K = 5 , RMSE = 0.26276803972921653
K = 6 , RMSE = 0.26830425704336314
K = 7 , RMSE = 0.2738954996111344
K = 8 , RMSE = 0.2791848792193488
K = 9 , RMSE = 0.2839276242141846
K = 10 , RMSE = 0.28841210364495923
K = 11 , RMSE = 0.29299495965839273
K = 12 , RMSE = 0.2997099833280672
K = 13 , RMSE = 0.30873334988054113
K = 14 , RMSE = 0.3109534160751377
K = 15 , RMSE = 0.3129076635020118
K = 16 , RMSE = 0.314755771015625
K = 17 , RMSE = 0.3163713683575224
K = 18 , RMSE = 0.31777285340943795
K = 19 , RMSE = 0.3191501894914418
K = 20 , RMSE = 0.320271832292965
K = 21 , RMSE = 0.32127565736923064
K = 22 , RMSE = 0.3222171449367664
K = 23 , RMSE = 0.3231474089321625
K = 24 , RMSE = 0.32394533807166415
K = 25 , RMSE = 0.3246936531660111
K = 26 , RMSE = 0.32548298320445185
K = 27 , RMSE = 0.326262846966104
K = 28 , RMSE = 0.3270209454277872
K = 29 , RMSE = 0.32781974400884517
K = 30 , RMSE = 0.32868074582530316
K = 31 , RMSE = 0.3295358295566727
K = 32 , RMSE = 0.3303643514658656
K = 33 , RMSE = 0.3311087463475447
K = 34 , RMSE = 0.33196887573246
K = 35 , RMSE = 0.3328664220776293
K = 36 , RMSE = 0.33370053179643
K = 37 , RMSE = 0.33456727589751195
K = 38 , RMSE = 0.3354985356927543
K = 39 , RMSE = 0.3365051710684759
K = 40 , RMSE = 0.3374815023553931
K = 41 , RMSE = 0.33852148262711873
K = 42 , RMSE = 0.33953356389115075
K = 43 , RMSE = 0.3406883519691653
K = 44 , RMSE = 0.34190925932972493
K = 45 , RMSE = 0.34300469258609617
K = 46 , RMSE = 0.3441634169098451
K = 47 , RMSE = 0.3453799306984503
K = 48 , RMSE = 0.3466390314716954
K = 49 , RMSE = 0.34828422679327103
K = 50 , RMSE = 0.35058973239653124

#test
K = 1 , RMSE = 0.2724725918529097
K = 2 , RMSE = 0.25424359725202655
K = 3 , RMSE = 0.2539592779096956
K = 4 , RMSE = 0.2584905817613359
K = 5 , RMSE = 0.26374155302158264
K = 55 , RMSE = 0.35712467923859165

#full test
K = 1 , RMSE = 0.24645571169304772
K = 2 , RMSE = 0.2274632197104713
K = 3 , RMSE = 0.22690244163864953
K = 4 , RMSE = 0.2308505659495677
K = 5 , RMSE = 0.2359266201273986
K = 55 , RMSE = 0.33265684881957003

#step + kc
#valid
K = 1 , RMSE = 0.2804306246931613
K = 2 , RMSE = 0.2377424642135679
K = 3 , RMSE = 0.22393907428903928
K = 4 , RMSE = 0.21685668858503573
K = 5 , RMSE = 0.21315672050187917
K = 6 , RMSE = 0.21107245700473423
K = 7 , RMSE = 0.21007667077173534
K = 8 , RMSE = 0.20985619038905715
K = 9 , RMSE = 0.21000867227391032
K = 10 , RMSE = 0.21034983731883494
K = 11 , RMSE = 0.21101788958283005
K = 12 , RMSE = 0.21248198041682617
K = 13 , RMSE = 0.21438234278126353
K = 14 , RMSE = 0.21413892112808267
K = 15 , RMSE = 0.2140740485296091
K = 16 , RMSE = 0.21401390820717042
K = 17 , RMSE = 0.21391526303349112
K = 18 , RMSE = 0.21393364381895938
K = 19 , RMSE = 0.21404839850040572
K = 20 , RMSE = 0.21430176358009068
K = 21 , RMSE = 0.21442193867616813
K = 22 , RMSE = 0.21452280593646958
K = 23 , RMSE = 0.2145754068291552
K = 24 , RMSE = 0.214688971798907
K = 25 , RMSE = 0.21480345722808905
K = 26 , RMSE = 0.21490257688570014
K = 27 , RMSE = 0.21504764970725956
K = 28 , RMSE = 0.21523019252517397
K = 29 , RMSE = 0.21547199956433397
K = 30 , RMSE = 0.21567155954636336

#test
K = 7 , RMSE = 0.20903706844545836
K = 8 , RMSE = 0.2088147169333694
K = 9 , RMSE = 0.2090306658014975

#full test
K = 7 , RMSE = 0.2064682437063324
K = 8 , RMSE = 0.20626796034107484
K = 9 , RMSE = 0.2064638004545112
