"Uniform"
K = 5 , RMSE = 0.4613669
K = 10 , RMSE = 0.4649096
K = 15 , RMSE = 0.4589164
K = 25 , RMSE = 0.4586364
K = 30 , RMSE = 0.4596626
K = 40 , RMSE = 0.4599258
K = 50 , RMSE = 0.4606248
K = 60 , RMSE = 0.4616465
K = 100 , RMSE = 0.4646000
K = 110 , RMSE = 0.4651035
K = 130 , RMSE = 0.4659234

"Distance" (weighted)
K = 5 , RMSE = 0.3908638
K = 10 , RMSE = 0.38542177
K = 15 , RMSE = 0.37588946
K = 25 , RMSE = 0.37199387
K = 40 , RMSE = 0.37002485
K = 50 , RMSE = 0.36915101
K = 55 , RMSE = 0.36884825
K = 60 , RMSE = 0.36877611
K = 100 , RMSE = 0.36836898
K = 110 , RMSE = 0.36825161
K = 130 , RMSE = 0.36816734
